Brand,KPI Name,KPI Unit,Month of Date,Year of Date,This Period Value
Alex Bottle,TACOS,%,January,2025,0
Alex Bottle,Repeat Rate,%,January,2025,50
Alex Bottle,% Cross-Sell Customers,%,January,2025,0
Alex Bottle,ACOS,%,January,2025,0
Alex Bottle,Conversion Rate,%,January,2025,0.443458980
Arctic Tumblers,TACOS,%,January,2025,8.274216261
Arctic Tumblers,Repeat Rate,%,January,2025,14.400921659
Arctic Tumblers,% Cross-Sell Customers,%,January,2025,0
Arctic Tumblers,ACOS,%,January,2025,19.436011178
Arctic Tumblers,Contact Rate,%,January,2025,552.631578947
Arctic Tumblers,Conversion Rate,%,January,2025,0.517188926
Arctic Tumblers,CSAT Score,%,January,2025,
Corretto,TACOS,%,January,2025,12.577308753
Corretto,Repeat Rate,%,January,2025,8.808290155
Corretto,% Cross-Sell Customers,%,January,2025,
Corretto,ACOS,%,January,2025,
Ergonofis,TACOS,%,January,2025,11.463863323
Ergonofis,Repeat Rate,%,January,2025,38.126361656
Ergonofis,Email Click Rate,%,January,2025,"349,256"
Ergonofis,Email Click Through Rate,%,January,2025,"232,336"
Ergonofis,Email Open Rate,%,January,2025,"571,348"
Ergonofis,% Cross-Sell Customers,%,January,2025,7.857142857
Ergonofis,ACOS,%,January,2025,10.943164789
Ergonofis,Conversion Rate,%,January,2025,0.335904454
Freakmount,TACOS,%,January,2025,22.857888543
Freakmount,Repeat Rate,%,January,2025,11.519607843
Freakmount,Email Click Rate,%,January,2025,"182,934"
Freakmount,Email Click Through Rate,%,January,2025,"54,148"
Freakmount,Email Open Rate,%,January,2025,"235,158"
Freakmount,% Cross-Sell Customers,%,January,2025,5.882352941
Freakmount,ACOS,%,January,2025,69.271934453
Freakmount,Contact Rate,%,January,2025,52.459016393
Freakmount,Conversion Rate,%,January,2025,2.030963875
Freakmount,CSAT Score,%,January,2025,66.666666667
Go Green,TACOS,%,January,2025,0
Go Green,Repeat Rate,%,January,2025,22.916666667
Go Green,% Cross-Sell Customers,%,January,2025,
Gravity,TACOS,%,January,2025,28.555618004
Gravity,Repeat Rate,%,January,2025,9.927360775
Gravity,Email Click Rate,%,January,2025,"1,246,816"
Gravity,Email Click Through Rate,%,January,2025,"485,032"
Gravity,Email Open Rate,%,January,2025,"1,686,220"
Gravity,% Cross-Sell Customers,%,January,2025,3.198494826
Gravity,ACOS,%,January,2025,49.230580180
Gravity,Conversion Rate,%,January,2025,0.938841202
Homesick,TACOS,%,January,2025,48.319228554
Homesick,Repeat Rate,%,January,2025,24.069478908
Homesick,Email Click Rate,%,January,2025,"8,013,352"
Homesick,Email Click Through Rate,%,January,2025,"5,090,455"
Homesick,Email Open Rate,%,January,2025,"13,029,855"
Homesick,% Cross-Sell Customers,%,January,2025,13.007380074
Homesick,ACOS,%,January,2025,84.144513800
Homesick,Conversion Rate,%,January,2025,2.473844813
Kana,TACOS,%,January,2025,15.091255698
Kana,Repeat Rate,%,January,2025,30.722891566
Kana,Email Click Rate,%,January,2025,"133,789"
Kana,Email Click Through Rate,%,January,2025,"80,673"
Kana,Email Open Rate,%,January,2025,"213,000"
Kana,% Cross-Sell Customers,%,January,2025,17.431192661
Kana,ACOS,%,January,2025,30.665947008
Kana,Contact Rate,%,January,2025,55.636363636
Kana,Conversion Rate,%,January,2025,0.813861906
Kana,CSAT Score,%,January,2025,62.5
Loctote,TACOS,%,January,2025,16.828297365
Loctote,Repeat Rate,%,January,2025,31.147540984
Loctote,Email Click Rate,%,January,2025,"635,237"
Loctote,Email Click Through Rate,%,January,2025,"273,523"
Loctote,Email Open Rate,%,January,2025,"903,634"
Loctote,% Cross-Sell Customers,%,January,2025,6.451612903
Loctote,ACOS,%,January,2025,37.387096658
Loctote,Contact Rate,%,January,2025,339.0625
Loctote,Conversion Rate,%,January,2025,0.591934887
Loctote,CSAT Score,%,January,2025,71.428571429
Love Your Melon,TACOS,%,January,2025,27.967006056
Love Your Melon,Repeat Rate,%,January,2025,42.312461252
Love Your Melon,Email Click Rate,%,January,2025,"9,751,648"
Love Your Melon,Email Click Through Rate,%,January,2025,"7,096,355"
Love Your Melon,Email Open Rate,%,January,2025,"16,731,583"
Love Your Melon,% Cross-Sell Customers,%,January,2025,4.094041346
Love Your Melon,ACOS,%,January,2025,31.338974666
Love Your Melon,Conversion Rate,%,January,2025,24.371835292
MiHIGH,TACOS,%,January,2025,179.089002113
MiHIGH,Repeat Rate,%,January,2025,18.905472637
MiHIGH,Email Click Rate,%,January,2025,"469,850"
MiHIGH,Email Click Through Rate,%,January,2025,"235,926"
MiHIGH,Email Open Rate,%,January,2025,"683,204"
MiHIGH,% Cross-Sell Customers,%,January,2025,5.235602094
MiHIGH,ACOS,%,January,2025,88.223996281
MiHIGH,Conversion Rate,%,January,2025,0.273988080
Opposite Wall,TACOS,%,January,2025,16.297633227
Opposite Wall,Repeat Rate,%,January,2025,25.099145148
Opposite Wall,Email Click Rate,%,January,2025,"1,430,316"
Opposite Wall,Email Click Through Rate,%,January,2025,"687,997"
Opposite Wall,Email Open Rate,%,January,2025,"2,095,381"
Opposite Wall,% Cross-Sell Customers,%,January,2025,10.365004179
Opposite Wall,ACOS,%,January,2025,34.625973941
Opposite Wall,Contact Rate,%,January,2025,28.920041537
Opposite Wall,Conversion Rate,%,January,2025,2.458915352
Opposite Wall,CSAT Score,%,January,2025,91.919191919
Proper Pour,TACOS,%,January,2025,6.008120569
Proper Pour,Repeat Rate,%,January,2025,25.669436750
Proper Pour,% Cross-Sell Customers,%,January,2025,
Proper Pour,ACOS,%,January,2025,
Qalo,TACOS,%,January,2025,34.649921580
Qalo,Repeat Rate,%,January,2025,37.927385755
Qalo,Email Click Rate,%,January,2025,"24,172,540"
Qalo,Email Click Through Rate,%,January,2025,"16,214,792"
Qalo,Email Open Rate,%,January,2025,"39,914,504"
Qalo,% Cross-Sell Customers,%,January,2025,5.288694808
Qalo,ACOS,%,January,2025,
Qalo,Conversion Rate,%,January,2025,2.105275548
Rachel,TACOS,%,January,2025,33.781496718
Rachel,Repeat Rate,%,January,2025,59.816806053
Rachel,Email Click Rate,%,January,2025,"1,326,944"
Rachel,Email Click Through Rate,%,January,2025,"1,074,055"
Rachel,Email Open Rate,%,January,2025,"2,369,329"
Rachel,% Cross-Sell Customers,%,January,2025,7.003395586
Rachel,ACOS,%,January,2025,31.635605266
Rachel,Contact Rate,%,January,2025,41.475927388
Rachel,Conversion Rate,%,January,2025,2.054559141
Rachel,CSAT Score,%,January,2025,89.147286822
Revant,TACOS,%,January,2025,16.854769339
Revant,Repeat Rate,%,January,2025,23.700166742
Revant,Email Click Rate,%,January,2025,"2,328,808"
Revant,Email Click Through Rate,%,January,2025,"1,962,236"
Revant,Email Open Rate,%,January,2025,"4,206,368"
Revant,% Cross-Sell Customers,%,January,2025,2.884027863
Revant,ACOS,%,January,2025,21.711018222
Revant,Contact Rate,%,January,2025,68.047619048
Revant,Conversion Rate,%,January,2025,5.198856252
Revant,CSAT Score,%,January,2025,
Rose Boreal,TACOS,%,January,2025,25.852519510
Rose Boreal,Repeat Rate,%,January,2025,78.457446809
Rose Boreal,Email Click Rate,%,January,2025,"978,790"
Rose Boreal,Email Click Through Rate,%,January,2025,"410,198"
Rose Boreal,Email Open Rate,%,January,2025,"1,358,472"
Rose Boreal,% Cross-Sell Customers,%,January,2025,20.359281437
Rose Boreal,ACOS,%,January,2025,29.577087274
Rose Boreal,Contact Rate,%,January,2025,109.523809524
Rose Boreal,Conversion Rate,%,January,2025,1.169481509
Rose Boreal,CSAT Score,%,January,2025,100
Wolf & Grizzly,TACOS,%,January,2025,1.332184282
Wolf & Grizzly,Repeat Rate,%,January,2025,9.459459459
Wolf & Grizzly,Email Click Rate,%,January,2025,"214,971"
Wolf & Grizzly,Email Click Through Rate,%,January,2025,"125,979"
Wolf & Grizzly,Email Open Rate,%,January,2025,"338,892"
Wolf & Grizzly,% Cross-Sell Customers,%,January,2025,9.090909091
Wolf & Grizzly,ACOS,%,January,2025,4.423973831
Wolf & Grizzly,Contact Rate,%,January,2025,240
Wolf & Grizzly,Conversion Rate,%,January,2025,0.500901623
Wolf & Grizzly,CSAT Score,%,January,2025,
Alex Bottle,Gross Revenue,$,January,2025,181.688902
Alex Bottle,Discount,$,January,2025,0
Alex Bottle,Refund,$,January,2025,0
Alex Bottle,Shipping Revenue,$,January,2025,0
Alex Bottle,Net Revenue,$,January,2025,181.688902
Alex Bottle,D2C Contribution Margin,$,January,2025,71.620202
Alex Bottle,D2C Net AOV,$,January,2025,90.844451
Alex Bottle,Landed Cost,$,January,2025,55.115689
Alex Bottle,Transaction Fees,$,January,2025,7.010055
Alex Bottle,Fulfillment Fees,$,January,2025,47.942956
Alex Bottle,Gross Margin,$,January,2025,71.620202
Alex Bottle,Contribution Margin,$,January,2025,71.620202
Alex Bottle,D2C Net Revenue,$,January,2025,181.688902
Alex Bottle,LTV,$,January,2025,132.887846539
Alex Bottle,Brand LTV,$,January,2025,265.775693078
Alex Bottle,CAC,$,January,2025,0
Alex Bottle,D2C Gross AOV,$,January,2025,90.844451
Alex Bottle,D2C Gross Margin,$,January,2025,71.620202
Alex Bottle,TCAC,$,January,2025,0
Arctic Tumblers,Gross Revenue,$,January,2025,"48,922.847599"
Arctic Tumblers,Discount,$,January,2025,"4,944.693342"
Arctic Tumblers,Refund,$,January,2025,"2,013.471569"
Arctic Tumblers,Shipping Revenue,$,January,2025,87.217326
Arctic Tumblers,Net Revenue,$,January,2025,"41,964.682688"
Arctic Tumblers,D2C Contribution Margin,$,January,2025,"6,564.276465331"
Arctic Tumblers,D2C Net AOV,$,January,2025,38.190406323
Arctic Tumblers,Landed Cost,$,January,2025,"15,592.565836"
Arctic Tumblers,Transaction Fees,$,January,2025,"5,575.702370393"
Arctic Tumblers,Fulfillment Fees,$,January,2025,"9,566.241001276"
Arctic Tumblers,Gross Margin,$,January,2025,"11,317.390806331"
Arctic Tumblers,Adspend,$,January,2025,"2,742.842511"
Arctic Tumblers,Contribution Margin,$,January,2025,"8,574.548295331"
Arctic Tumblers,D2C Net Revenue,$,January,2025,"33,149.272688"
Arctic Tumblers,LTV,$,January,2025,57.492980404
Arctic Tumblers,Brand LTV,$,January,2025,"46,166.863264542"
