Brand,KPI Name,KPI Unit,Month of Date,Year of Date,This Period Value
Alex Bottle,TACOS,%,January,2021,
Alex Bottle,TACOS,%,January,2022,10.176225918
Alex Bottle,TACOS,%,January,2023,
Alex Bottle,Repeat Rate,%,January,2022,
Alex Bottle,% Cross-Sell Customers,%,January,2022,
Alex Bottle,ACOS,%,January,2021,
Alex Bottle,ACOS,%,January,2022,
Alex Bottle,ACOS,%,January,2023,
Arctic Tumblers,TACOS,%,January,2021,16.050978905
Arctic Tumblers,TACOS,%,January,2022,14.031089654
Arctic Tumblers,TACOS,%,January,2023,12.033922397
Arctic Tumblers,TACOS,%,January,2024,10.158360585
Arctic Tumblers,TACOS,%,January,2025,7.019477776
Arctic Tumblers,Repeat Rate,%,January,2021,
Arctic Tumblers,Repeat Rate,%,January,2022,
Arctic Tumblers,Repeat Rate,%,January,2023,11.372334609
Arctic Tumblers,Repeat Rate,%,January,2024,12.033898305
Arctic Tumblers,Repeat Rate,%,January,2025,14.453584019
Arctic Tumblers,% Cross-Sell Customers,%,January,2021,
Arctic Tumblers,% Cross-Sell Customers,%,January,2022,
Arctic Tumblers,% Cross-Sell Customers,%,January,2023,
Arctic Tumblers,% Cross-Sell Customers,%,January,2024,
Arctic Tumblers,% Cross-Sell Customers,%,January,2025,
Arctic Tumblers,ACOS,%,January,2021,
Arctic Tumblers,ACOS,%,January,2022,
Arctic Tumblers,ACOS,%,January,2023,
Arctic Tumblers,ACOS,%,January,2024,
Arctic Tumblers,ACOS,%,January,2025,
Corretto,TACOS,%,January,2021,0
Corretto,TACOS,%,January,2022,5.100022975
Corretto,TACOS,%,January,2023,13.457427713
Corretto,TACOS,%,January,2024,11.935400696
Corretto,TACOS,%,January,2025,13.137297425
Corretto,Repeat Rate,%,January,2021,
Corretto,Repeat Rate,%,January,2022,
Corretto,Repeat Rate,%,January,2023,7.874015748
Corretto,Repeat Rate,%,January,2024,15.231788079
Corretto,Repeat Rate,%,January,2025,10.160427807
Corretto,% Cross-Sell Customers,%,January,2021,
Corretto,% Cross-Sell Customers,%,January,2022,
Corretto,% Cross-Sell Customers,%,January,2023,
Corretto,% Cross-Sell Customers,%,January,2024,
Corretto,% Cross-Sell Customers,%,January,2025,
Corretto,ACOS,%,January,2022,
Corretto,ACOS,%,January,2023,
Corretto,ACOS,%,January,2024,
Corretto,ACOS,%,January,2025,
Freakmount,TACOS,%,January,2021,
Freakmount,TACOS,%,January,2022,4.056151687
Freakmount,TACOS,%,January,2023,24.785510783
Freakmount,TACOS,%,January,2024,11.822844440
Freakmount,TACOS,%,January,2025,10.079974195
Freakmount,Repeat Rate,%,January,2022,
Freakmount,Repeat Rate,%,January,2023,7.854984894
Freakmount,Repeat Rate,%,January,2024,9.883720930
Freakmount,Repeat Rate,%,January,2025,8.041958042
Freakmount,% Cross-Sell Customers,%,January,2022,
Freakmount,% Cross-Sell Customers,%,January,2023,
Freakmount,% Cross-Sell Customers,%,January,2024,
Freakmount,% Cross-Sell Customers,%,January,2025,
Freakmount,ACOS,%,January,2021,
Freakmount,ACOS,%,January,2022,
Freakmount,ACOS,%,January,2023,
Freakmount,ACOS,%,January,2024,
Freakmount,ACOS,%,January,2025,
Go Green,TACOS,%,January,2021,35.478472580
Go Green,TACOS,%,January,2022,0
Go Green,TACOS,%,January,2023,0
Go Green,TACOS,%,January,2024,0
Go Green,TACOS,%,January,2025,0
Go Green,Repeat Rate,%,January,2021,
Go Green,Repeat Rate,%,January,2022,
Go Green,Repeat Rate,%,January,2023,0
Go Green,Repeat Rate,%,January,2024,19.900497512
Go Green,Repeat Rate,%,January,2025,22.916666667
Go Green,% Cross-Sell Customers,%,January,2021,
Go Green,% Cross-Sell Customers,%,January,2022,
Go Green,% Cross-Sell Customers,%,January,2023,
Go Green,% Cross-Sell Customers,%,January,2024,
Go Green,% Cross-Sell Customers,%,January,2025,
Go Green,ACOS,%,January,2021,
Go Green,ACOS,%,January,2022,
Go Green,ACOS,%,January,2023,
Gravity,TACOS,%,January,2023,0
Gravity,TACOS,%,January,2024,0
Gravity,TACOS,%,January,2025,30.505340379
Gravity,Repeat Rate,%,January,2023,0
Gravity,Repeat Rate,%,January,2024,4.707233065
Gravity,Repeat Rate,%,January,2025,5.128205128
Gravity,% Cross-Sell Customers,%,January,2024,
Gravity,% Cross-Sell Customers,%,January,2025,
Gravity,ACOS,%,January,2025,
Homesick,TACOS,%,January,2023,0
Homesick,TACOS,%,January,2024,0
Homesick,TACOS,%,January,2025,27.004526694
Homesick,Repeat Rate,%,January,2023,0
Homesick,Repeat Rate,%,January,2024,14.727895471
Homesick,Repeat Rate,%,January,2025,14.656334232
Homesick,% Cross-Sell Customers,%,January,2024,
Homesick,% Cross-Sell Customers,%,January,2025,
Homesick,ACOS,%,January,2025,
Kana,TACOS,%,January,2021,12.480168923
Kana,TACOS,%,January,2022,11.285262510
Kana,TACOS,%,January,2023,5.345512842
Kana,TACOS,%,January,2024,1.461734387
Kana,TACOS,%,January,2025,2.676674159
Kana,Repeat Rate,%,January,2021,
Kana,Repeat Rate,%,January,2022,
Kana,Repeat Rate,%,January,2023,19.002375297
Kana,Repeat Rate,%,January,2024,17.132867133
Kana,Repeat Rate,%,January,2025,23.728813559
Kana,% Cross-Sell Customers,%,January,2021,
Kana,% Cross-Sell Customers,%,January,2022,
Kana,% Cross-Sell Customers,%,January,2023,
Kana,% Cross-Sell Customers,%,January,2024,
Kana,% Cross-Sell Customers,%,January,2025,
Kana,ACOS,%,January,2021,
Kana,ACOS,%,January,2022,
Kana,ACOS,%,January,2023,
Kana,ACOS,%,January,2024,
Kana,ACOS,%,January,2025,
Loctote,TACOS,%,January,2021,33.403155812
Loctote,TACOS,%,January,2022,0.591517977
Loctote,TACOS,%,January,2023,16.192172219
Loctote,TACOS,%,January,2024,5.752061983
Loctote,TACOS,%,January,2025,7.074265359
Loctote,Repeat Rate,%,January,2021,
Loctote,Repeat Rate,%,January,2022,
Loctote,Repeat Rate,%,January,2023,5.035971223
Loctote,Repeat Rate,%,January,2024,9.917355372
Loctote,Repeat Rate,%,January,2025,10.344827586
Loctote,% Cross-Sell Customers,%,January,2021,
Loctote,% Cross-Sell Customers,%,January,2022,
Loctote,% Cross-Sell Customers,%,January,2023,
Loctote,% Cross-Sell Customers,%,January,2024,
Loctote,% Cross-Sell Customers,%,January,2025,
Loctote,ACOS,%,January,2021,
Loctote,ACOS,%,January,2022,
Loctote,ACOS,%,January,2023,
Loctote,ACOS,%,January,2024,
Loctote,ACOS,%,January,2025,
Love Your Melon,TACOS,%,January,2023,0
Love Your Melon,TACOS,%,January,2024,0
Love Your Melon,TACOS,%,January,2025,25.007749519
Love Your Melon,Repeat Rate,%,January,2023,0
Love Your Melon,Repeat Rate,%,January,2024,9.867909868
Love Your Melon,Repeat Rate,%,January,2025,6.666666667
Love Your Melon,% Cross-Sell Customers,%,January,2024,
Love Your Melon,% Cross-Sell Customers,%,January,2025,
Love Your Melon,ACOS,%,January,2025,
MiHIGH,TACOS,%,January,2023,0
MiHIGH,TACOS,%,January,2024,0
MiHIGH,TACOS,%,January,2025,0
MiHIGH,Repeat Rate,%,January,2023,0
MiHIGH,Repeat Rate,%,January,2024,5.617977528
MiHIGH,Repeat Rate,%,January,2025,0
MiHIGH,% Cross-Sell Customers,%,January,2024,
MiHIGH,% Cross-Sell Customers,%,January,2025,
Opposite Wall,TACOS,%,January,2021,2.093244757
Opposite Wall,TACOS,%,January,2022,3.330540435
Opposite Wall,TACOS,%,January,2023,5.995548787
Opposite Wall,TACOS,%,January,2024,11.189416459
Opposite Wall,TACOS,%,January,2025,9.695386931
Opposite Wall,Repeat Rate,%,January,2021,
Opposite Wall,Repeat Rate,%,January,2022,
Opposite Wall,Repeat Rate,%,January,2023,17.530932851
Opposite Wall,Repeat Rate,%,January,2024,20.828350908
Opposite Wall,Repeat Rate,%,January,2025,21.537240376
Opposite Wall,% Cross-Sell Customers,%,January,2022,
Opposite Wall,% Cross-Sell Customers,%,January,2023,
Opposite Wall,% Cross-Sell Customers,%,January,2024,
Opposite Wall,% Cross-Sell Customers,%,January,2025,
Opposite Wall,ACOS,%,January,2021,
Opposite Wall,ACOS,%,January,2022,
Opposite Wall,ACOS,%,January,2023,
Opposite Wall,ACOS,%,January,2024,
Opposite Wall,ACOS,%,January,2025,
Proper Pour,TACOS,%,January,2021,6.941300375
Proper Pour,TACOS,%,January,2022,1.422084125
Proper Pour,TACOS,%,January,2023,11.531003017
Proper Pour,TACOS,%,January,2024,9.127898298
Proper Pour,TACOS,%,January,2025,6.049246821
Proper Pour,Repeat Rate,%,January,2021,
