Brand,KPI Name,KPI Unit,Month of Date,Year of Date,This Period Value
Alex Bottle,TACOS,%,January,2021,410.406219319
Alex Bottle,TACOS,%,January,2022,6.679492501
Alex Bottle,TACOS,%,January,2023,0
Alex Bottle,TACOS,%,January,2024,0
Alex Bottle,TACOS,%,January,2025,0
Alex Bottle,Repeat Rate,%,January,2021,
Alex Bottle,Repeat Rate,%,January,2022,
Alex Bottle,Repeat Rate,%,January,2023,50
Alex Bottle,Repeat Rate,%,January,2024,0
Alex Bottle,Repeat Rate,%,January,2025,50
Alex Bottle,% Cross-Sell Customers,%,January,2021,8.333333333
Alex Bottle,% Cross-Sell Customers,%,January,2022,0
Alex Bottle,% Cross-Sell Customers,%,January,2023,100
Alex Bottle,% Cross-Sell Customers,%,January,2024,0
Alex Bottle,% Cross-Sell Customers,%,January,2025,0
Alex Bottle,ACOS,%,January,2021,
Alex Bottle,ACOS,%,January,2022,19.689209011
Alex Bottle,ACOS,%,January,2023,0
Alex Bottle,ACOS,%,January,2024,0
Alex Bottle,ACOS,%,January,2025,0
Alex Bottle,Conversion Rate,%,January,2021,
Alex Bottle,Conversion Rate,%,January,2022,1.073619632
Alex Bottle,Conversion Rate,%,January,2023,0.514138817
Alex Bottle,Conversion Rate,%,January,2024,0.180831826
Alex Bottle,Conversion Rate,%,January,2025,0.443458980
Arctic Tumblers,TACOS,%,January,2021,15.784751391
Arctic Tumblers,TACOS,%,January,2022,13.241422101
Arctic Tumblers,TACOS,%,January,2023,11.052790652
Arctic Tumblers,TACOS,%,January,2024,8.969064392
Arctic Tumblers,TACOS,%,January,2025,8.402030662
Arctic Tumblers,Repeat Rate,%,January,2021,
Arctic Tumblers,Repeat Rate,%,January,2022,
Arctic Tumblers,Repeat Rate,%,January,2023,11.491181187
Arctic Tumblers,Repeat Rate,%,January,2024,11.890999174
Arctic Tumblers,Repeat Rate,%,January,2025,14.400921659
Arctic Tumblers,% Cross-Sell Customers,%,January,2021,2.5
Arctic Tumblers,% Cross-Sell Customers,%,January,2022,4.255319149
Arctic Tumblers,% Cross-Sell Customers,%,January,2023,2.5
Arctic Tumblers,% Cross-Sell Customers,%,January,2024,0
Arctic Tumblers,% Cross-Sell Customers,%,January,2025,0
Arctic Tumblers,ACOS,%,January,2021,
Arctic Tumblers,ACOS,%,January,2022,233.278915150
Arctic Tumblers,ACOS,%,January,2023,120.053635293
Arctic Tumblers,ACOS,%,January,2024,28.557283975
Arctic Tumblers,ACOS,%,January,2025,19.436011178
Arctic Tumblers,Contact Rate,%,January,2021,0
Arctic Tumblers,Contact Rate,%,January,2022,0
Arctic Tumblers,Contact Rate,%,January,2023,366.666666667
Arctic Tumblers,Contact Rate,%,January,2024,223.529411765
Arctic Tumblers,Contact Rate,%,January,2025,552.631578947
Arctic Tumblers,Conversion Rate,%,January,2021,1.136678680
Arctic Tumblers,Conversion Rate,%,January,2022,1.837175793
Arctic Tumblers,Conversion Rate,%,January,2023,1.419398445
Arctic Tumblers,Conversion Rate,%,January,2024,0.950920245
Arctic Tumblers,Conversion Rate,%,January,2025,0.517188926
Arctic Tumblers,CSAT Score,%,January,2021,
Arctic Tumblers,CSAT Score,%,January,2022,
Arctic Tumblers,CSAT Score,%,January,2023,66.666666667
Arctic Tumblers,CSAT Score,%,January,2024,66.666666667
Arctic Tumblers,CSAT Score,%,January,2025,
Corretto,TACOS,%,January,2021,0
Corretto,TACOS,%,January,2022,5.100022975
Corretto,TACOS,%,January,2023,13.457427713
Corretto,TACOS,%,January,2024,11.935400696
Corretto,TACOS,%,January,2025,13.137297425
Corretto,Repeat Rate,%,January,2021,
Corretto,Repeat Rate,%,January,2022,
Corretto,Repeat Rate,%,January,2023,7.874015748
Corretto,Repeat Rate,%,January,2024,15.231788079
Corretto,Repeat Rate,%,January,2025,10.160427807
Corretto,% Cross-Sell Customers,%,January,2021,
Corretto,% Cross-Sell Customers,%,January,2022,
Corretto,% Cross-Sell Customers,%,January,2023,
Corretto,% Cross-Sell Customers,%,January,2024,
Corretto,% Cross-Sell Customers,%,January,2025,
Corretto,ACOS,%,January,2022,
Corretto,ACOS,%,January,2023,
Corretto,ACOS,%,January,2024,
Corretto,ACOS,%,January,2025,
Ergonofis,TACOS,%,January,2021,32.818815760
Ergonofis,TACOS,%,January,2022,59.860737772
Ergonofis,TACOS,%,January,2023,13.709055230
Ergonofis,TACOS,%,January,2024,7.323731127
Ergonofis,TACOS,%,January,2025,11.465723735
Ergonofis,Repeat Rate,%,January,2021,
Ergonofis,Repeat Rate,%,January,2022,
Ergonofis,Repeat Rate,%,January,2023,25.534188034
Ergonofis,Repeat Rate,%,January,2024,34.253246753
Ergonofis,Repeat Rate,%,January,2025,38.126361656
Ergonofis,Email Click Rate,%,January,2021,"12,362"
Ergonofis,Email Click Rate,%,January,2022,"4,659"
Ergonofis,Email Click Rate,%,January,2023,"80,814"
Ergonofis,Email Click Rate,%,January,2024,"256,550"
Ergonofis,Email Click Rate,%,January,2025,"349,256"
Ergonofis,Email Click Through Rate,%,January,2021,"9,073"
Ergonofis,Email Click Through Rate,%,January,2022,"5,061"
Ergonofis,Email Click Through Rate,%,January,2023,"54,940"
Ergonofis,Email Click Through Rate,%,January,2024,"131,985"
Ergonofis,Email Click Through Rate,%,January,2025,"232,336"
Ergonofis,Email Open Rate,%,January,2021,"19,351"
Ergonofis,Email Open Rate,%,January,2022,"8,520"
Ergonofis,Email Open Rate,%,January,2023,"128,772"
Ergonofis,Email Open Rate,%,January,2024,"377,211"
Ergonofis,Email Open Rate,%,January,2025,"571,348"
Ergonofis,% Cross-Sell Customers,%,January,2021,0
Ergonofis,% Cross-Sell Customers,%,January,2022,0
Ergonofis,% Cross-Sell Customers,%,January,2023,7.035755479
Ergonofis,% Cross-Sell Customers,%,January,2024,9.642857143
Ergonofis,% Cross-Sell Customers,%,January,2025,7.380952381
Ergonofis,ACOS,%,January,2021,2.824945761
Ergonofis,ACOS,%,January,2022,3.574951843
Ergonofis,ACOS,%,January,2023,13.936047467
Ergonofis,ACOS,%,January,2024,8.250571193
Ergonofis,ACOS,%,January,2025,10.943164789
Ergonofis,Conversion Rate,%,January,2021,0.035811007
Ergonofis,Conversion Rate,%,January,2022,0.023056035
Ergonofis,Conversion Rate,%,January,2023,0.697341757
Ergonofis,Conversion Rate,%,January,2024,0.575566456
Ergonofis,Conversion Rate,%,January,2025,0.335904454
Freakmount,TACOS,%,January,2021,22.312603077
Freakmount,TACOS,%,January,2022,31.788279258
Freakmount,TACOS,%,January,2023,61.723971868
Freakmount,TACOS,%,January,2024,20.343378515
Freakmount,TACOS,%,January,2025,22.915020783
Freakmount,Repeat Rate,%,January,2021,
Freakmount,Repeat Rate,%,January,2022,
