Brand,KPI Name,KPI Unit,Month of Date,Year of Date,This Period Value
Alex Bottle,TACOS,%,January,2021,410.406219319
Alex Bottle,TACOS,%,January,2022,0
Alex Bottle,TACOS,%,January,2023,0
Alex Bottle,TACOS,%,January,2024,0
Alex Bottle,TACOS,%,January,2025,0
Alex Bottle,Repeat Rate,%,January,2021,
Alex Bottle,Repeat Rate,%,January,2022,
Alex Bottle,Repeat Rate,%,January,2023,50
Alex Bottle,Repeat Rate,%,January,2024,0
Alex Bottle,Repeat Rate,%,January,2025,50
Alex Bottle,% Cross-Sell Customers,%,January,2021,8.333333333
Alex Bottle,% Cross-Sell Customers,%,January,2022,0
Alex Bottle,% Cross-Sell Customers,%,January,2023,100
Alex Bottle,% Cross-Sell Customers,%,January,2024,0
Alex Bottle,% Cross-Sell Customers,%,January,2025,0
Alex Bottle,ACOS,%,January,2021,
Alex Bottle,ACOS,%,January,2022,0
Alex Bottle,ACOS,%,January,2023,0
Alex Bottle,ACOS,%,January,2024,0
Alex Bottle,ACOS,%,January,2025,0
Alex Bottle,Conversion Rate,%,January,2021,
Alex Bottle,Conversion Rate,%,January,2022,1.073619632
Alex Bottle,Conversion Rate,%,January,2023,0.514138817
Alex Bottle,Conversion Rate,%,January,2024,0.180831826
Alex Bottle,Conversion Rate,%,January,2025,0.443458980
Arctic Tumblers,TACOS,%,January,2021,0
Arctic Tumblers,TACOS,%,January,2022,0
Arctic Tumblers,TACOS,%,January,2023,0
Arctic Tumblers,TACOS,%,January,2024,0.827556474
Arctic Tumblers,TACOS,%,January,2025,88.877729711
Arctic Tumblers,Repeat Rate,%,January,2021,
Arctic Tumblers,Repeat Rate,%,January,2022,
Arctic Tumblers,Repeat Rate,%,January,2023,16.666666667
Arctic Tumblers,Repeat Rate,%,January,2024,6.451612903
Arctic Tumblers,Repeat Rate,%,January,2025,11.764705882
Arctic Tumblers,% Cross-Sell Customers,%,January,2021,2.5
Arctic Tumblers,% Cross-Sell Customers,%,January,2022,4.255319149
Arctic Tumblers,% Cross-Sell Customers,%,January,2023,2.5
Arctic Tumblers,% Cross-Sell Customers,%,January,2024,0
Arctic Tumblers,% Cross-Sell Customers,%,January,2025,0
Arctic Tumblers,ACOS,%,January,2022,0
Arctic Tumblers,ACOS,%,January,2023,0
Arctic Tumblers,ACOS,%,January,2024,0.335844589
Arctic Tumblers,ACOS,%,January,2025,3.472442937
Arctic Tumblers,Conversion Rate,%,January,2021,1.136678680
Arctic Tumblers,Conversion Rate,%,January,2022,1.837175793
Arctic Tumblers,Conversion Rate,%,January,2023,1.419398445
Arctic Tumblers,Conversion Rate,%,January,2024,0.950920245
Arctic Tumblers,Conversion Rate,%,January,2025,0.517188926
Ergonofis,TACOS,%,January,2021,32.818815760
Ergonofis,TACOS,%,January,2022,59.860737772
Ergonofis,TACOS,%,January,2023,13.709055230
Ergonofis,TACOS,%,January,2024,7.323731127
Ergonofis,TACOS,%,January,2025,11.465723735
Ergonofis,Repeat Rate,%,January,2021,
Ergonofis,Repeat Rate,%,January,2022,
Ergonofis,Repeat Rate,%,January,2023,25.534188034
Ergonofis,Repeat Rate,%,January,2024,34.253246753
Ergonofis,Repeat Rate,%,January,2025,38.126361656
Ergonofis,Email Click Rate,%,January,2021,"12,362"
Ergonofis,Email Click Rate,%,January,2022,"4,659"
Ergonofis,Email Click Rate,%,January,2023,"80,814"
Ergonofis,Email Click Rate,%,January,2024,"256,550"
Ergonofis,Email Click Rate,%,January,2025,"349,256"
Ergonofis,Email Click Through Rate,%,January,2021,"9,073"
Ergonofis,Email Click Through Rate,%,January,2022,"5,061"
Ergonofis,Email Click Through Rate,%,January,2023,"54,940"
